feature_name,sensor,normal_mean,anomaly_mean,mean_difference,normal_std,anomaly_std,normal_median,anomaly_median,cohens_d,mann_whitney_u,p_value,mutual_info
Pressure__autocorrelation__lag_8,Pressure,-0.0237,0.0753,0.099,0.1963,0.1637,-0.0237,0.0833,0.5501,28030.0,3.1891393222802044e-11,0.056
Noise__ar_coefficient__coeff_5__k_10,Noise,-0.0662,0.103,0.1692,0.3042,0.312,-0.0709,0.092,0.5489,28140.0,4.632999981766183e-11,0.0
"Motor_Current__fft_coefficient__attr_""real""__coeff_12",Motor_Current,-0.0047,-1.3033,-1.2986,0.1947,3.2657,-0.0124,-1.0745,0.5487,54613.0,1.7863146805255234e-11,0.4777
Vibration__autocorrelation__lag_2,Vibration,0.1979,0.3568,0.159,0.3127,0.2673,0.1165,0.3822,0.5486,27197.0,1.7108526967834463e-12,0.1386
"Vibration__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",Vibration,0.001,0.0213,0.0203,0.0042,0.0509,0.0007,0.0219,0.5483,24612.5,6.513084299703108e-17,0.4407
"Pressure__fft_coefficient__attr_""angle""__coeff_3",Pressure,18.3988,69.7957,51.3969,102.1109,87.3736,29.0711,93.3411,0.5428,29213.0,1.5128554497001858e-09,0.0383
Motor_Current__ar_coefficient__coeff_9__k_10,Motor_Current,-0.0563,0.1469,0.2032,0.3034,0.4297,-0.0666,0.1098,0.5421,27430.0,3.945475946699824e-12,0.0476
"Vibration__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",Vibration,0.1671,0.3572,0.19,0.3063,0.3881,0.0056,0.1379,0.5407,27879.0,1.9007020464259257e-11,0.0439
Noise__ar_coefficient__coeff_4__k_10,Noise,-0.1344,0.0342,0.1686,0.3082,0.3169,-0.1366,0.0494,0.5392,28125.0,4.4037456127912336e-11,0.0138
"Temperature__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",Temperature,0.0036,0.0926,0.0889,0.0319,0.2295,0.0041,0.08,0.5309,27871.5,1.8521621278890848e-11,0.3682
Temperature__cid_ce__normalize_True,Temperature,6.2762,6.7891,0.5129,0.9524,0.9789,6.2772,6.8836,0.5307,28573.0,1.9573404780807243e-10,0.0758
Temperature__number_cwt_peaks__n_5,Temperature,2.8358,3.2159,0.3802,0.7035,0.7448,3.0,3.0,0.5241,30257.0,2.188204133239345e-09,0.0335
Noise__longest_strike_above_mean,Noise,4.7482,5.9203,1.1721,1.7019,2.6301,4.0,5.0,0.5241,30432.0,3.7561197423422514e-08,0.0359
Temperature__autocorrelation__lag_5,Temperature,-0.0274,0.0672,0.0946,0.1755,0.1855,-0.0322,0.0699,0.523,28648.0,2.500440937991482e-10,0.0825
Pressure__partial_autocorrelation__lag_3,Pressure,0.0196,0.1163,0.0967,0.1913,0.1793,0.0263,0.1129,0.5225,29703.0,6.76263441031006e-09,0.0451
Noise__partial_autocorrelation__lag_3,Noise,0.0068,0.1103,0.1035,0.2063,0.1917,-0.0137,0.1227,0.5205,28719.0,3.1487533262483566e-10,0.0
Temperature__partial_autocorrelation__lag_4,Temperature,-0.0712,0.0278,0.099,0.1846,0.1955,-0.0898,0.0311,0.5201,29762.0,8.066537037752788e-09,0.003
"Noise__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",Noise,0.0053,0.8292,0.824,0.0169,2.1894,0.0,0.0001,0.5201,27808.0,4.286075265638546e-14,0.1864
Vibration__partial_autocorrelation__lag_6,Vibration,-0.1882,-0.0668,0.1215,0.2751,0.188,-0.1865,-0.0748,0.5201,27751.0,1.2203072116010116e-11,0.0717
"Pressure__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",Pressure,0.0,0.0025,0.0025,0.0001,0.0065,0.0,0.0001,0.5196,28929.0,1.0154555701317868e-10,0.2241
"Pressure__fft_coefficient__attr_""real""__coeff_14",Pressure,-0.0115,-0.5252,-0.5137,0.1684,1.3604,-0.0177,-0.4508,0.5182,53566.0,5.781294358460716e-10,0.3783
Vibration__ar_coefficient__coeff_0__k_10,Vibration,0.3401,1.0419,0.7018,0.2728,1.8534,0.3148,0.7073,0.5182,30154.0,2.5467564537068993e-08,0.247
"Noise__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",Noise,0.02,0.7521,0.7321,0.0508,1.9556,0.0,0.0676,0.5172,22289.0,8.479456305545294e-24,0.1557
"Motor_Current__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",Motor_Current,0.0001,0.0162,0.016,0.0003,0.0429,0.0,0.0011,0.517,26047.0,1.8306965057610107e-15,0.2518
Temperature__lempel_ziv_complexity__bins_3,Temperature,0.4397,0.4227,-0.017,0.026,0.0382,0.4333,0.4333,0.5148,51490.5,4.03466495278979e-08,0.033
Temperature__ar_coefficient__coeff_10__k_10,Temperature,-0.1317,0.0459,0.1776,0.3119,0.3767,-0.1492,0.0568,0.5114,26701.0,2.762070836814901e-13,0.0775
"Vibration__fft_coefficient__attr_""angle""__coeff_3",Vibration,16.8589,66.0911,49.2322,107.3029,85.2867,32.4669,91.9124,0.5107,30960.0,2.4050386024410207e-07,0.0031
Noise__partial_autocorrelation__lag_5,Noise,-0.0432,0.0472,0.0903,0.1838,0.1721,-0.0499,0.0414,0.508,29478.0,3.425235701630066e-09,0.0308
"Noise__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",Noise,0.0099,0.1694,0.1595,0.0687,0.4292,0.0138,0.158,0.5077,26155.5,3.463975385674908e-14,0.3211
Motor_Current__symmetry_looking__r_0.1,Motor_Current,0.9854,0.8472,-0.1382,0.1199,0.3598,1.0,1.0,0.5059,46937.0,4.371680148271147e-09,0.0303
Motor_Current__partial_autocorrelation__lag_8,Motor_Current,-0.1682,-0.0614,0.1068,0.2134,0.2093,-0.1671,-0.0538,0.5054,29514.0,3.822279484016243e-09,0.0
Temperature__fourier_entropy__bins_3,Temperature,0.6879,0.7931,0.1052,0.2205,0.1964,0.7029,0.8314,0.5051,29812.5,8.737087239604192e-09,0.0537
Temperature__symmetry_looking__r_0.05,Temperature,0.865,0.6545,-0.2105,0.3418,0.4755,1.0,1.0,0.5045,49916.5,4.802794093410022e-09,0.0077
"Pressure__fft_coefficient__attr_""real""__coeff_12",Pressure,0.0113,-0.4702,-0.4815,0.1682,1.3106,0.0179,-0.3944,0.504,53225.0,1.6921959425286817e-09,0.3624
"Pressure__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",Pressure,0.0005,0.015,0.0145,0.008,0.0392,0.0006,0.0133,0.5034,26495.0,1.2718419245816574e-13,0.25
Vibration__ar_coefficient__coeff_5__k_10,Vibration,-0.079,0.0855,0.1645,0.2759,0.3696,-0.0805,0.047,0.5011,29549.0,4.251071136520731e-09,0.0331
Noise__ar_coefficient__coeff_8__k_10,Noise,-0.0691,0.1014,0.1705,0.2945,0.3795,-0.0703,0.0746,0.4992,29921.0,1.291777993244971e-08,0.0682
"Vibration__fft_coefficient__attr_""real""__coeff_12",Vibration,0.0026,-0.4049,-0.4075,0.0873,1.1258,0.0025,-0.3601,0.4989,52562.0,1.2580104760582028e-08,0.4393
"Pressure__fft_coefficient__attr_""angle""__coeff_5",Pressure,2.8513,53.7037,50.8524,103.9608,100.6705,5.9362,82.788,0.4973,29534.5,4.068026337368971e-09,0.0653
Pressure__has_duplicate_min,Pressure,0.2482,0.0731,-0.1751,0.432,0.2603,0.0,0.0,0.4965,48457.0,8.1381288705343e-09,0.0252
Temperature__ar_coefficient__coeff_7__k_10,Temperature,-0.1178,0.0411,0.1589,0.2662,0.3649,-0.1164,0.0196,0.4941,28830.0,4.5038492323504164e-10,0.0724
"Temperature__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",Temperature,0.0072,0.2904,0.2832,0.0148,0.7978,0.0009,0.0,0.4905,40448.0,0.6743275629907781,0.1846
Noise__autocorrelation__lag_8,Noise,-0.0215,0.0706,0.0921,0.2039,0.1726,-0.013,0.0974,0.4896,29601.0,4.975773974074061e-09,0.0587
Pressure__ar_coefficient__coeff_10__k_10,Pressure,-0.0744,0.0995,0.1739,0.2931,0.4046,-0.0605,0.1002,0.4887,28754.0,3.5261075682070754e-10,0.0473
Pressure__number_cwt_peaks__n_5,Pressure,3.0328,3.4053,0.3725,0.7416,0.783,3.0,3.0,0.4878,30867.0,2.105606139710346e-08,0.0512
"Noise__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",Noise,0.0017,0.2856,0.2839,0.0058,0.8047,0.0,0.0001,0.4876,27680.0,2.3004506745857976e-14,0.1678
"Pressure__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",Pressure,0.0,0.0014,0.0014,0.0001,0.0039,0.0,0.0001,0.4855,28227.5,5.4517815889862466e-12,0.1957
Temperature__ar_coefficient__coeff_2__k_10,Temperature,0.0458,-0.1052,-0.151,0.2916,0.3282,0.079,-0.1069,0.485,52445.0,1.772367758333784e-08,0.0634
"Temperature__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",Temperature,8.9261,9.6861,0.76,0.6151,2.0911,8.8576,9.7182,0.4836,30100.0,2.17861622376159e-08,0.2384
Pressure__ar_coefficient__coeff_7__k_10,Pressure,-0.0488,0.1165,0.1653,0.2964,0.3801,-0.0658,0.0803,0.4823,30014.0,1.6964838148037852e-08,0.0239
Motor_Current__autocorrelation__lag_2,Motor_Current,0.1072,0.2242,0.117,0.2447,0.2419,0.073,0.2147,0.4812,29987.0,1.5677678720570627e-08,0.0592
Temperature__fourier_entropy__bins_10,Temperature,1.5122,1.6585,0.1463,0.3379,0.2719,1.5344,1.7002,0.4793,30328.5,4.1879909729455665e-08,0.0284
"Temperature__fft_coefficient__attr_""imag""__coeff_5",Temperature,0.0645,2.639,2.5744,1.0953,7.3529,0.052,2.2776,0.4791,30201.5,2.919942379392166e-08,0.3299
Motor_Current__partial_autocorrelation__lag_4,Motor_Current,-0.0425,0.0492,0.0917,0.1858,0.1966,-0.0502,0.0592,0.4788,30534.0,7.487729874086363e-08,0.0471
"Vibration__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",Vibration,0.0,0.0009,0.0009,0.0001,0.0025,0.0,0.0,0.4779,35235.0,0.0017681502983797942,0.1819
"Vibration__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",Vibration,0.0,0.0011,0.0011,0.0001,0.0031,0.0,0.0001,0.4772,31694.5,7.785670221134847e-07,0.2752
Motor_Current__large_standard_deviation__r_0.25,Motor_Current,0.3759,0.608,0.2321,0.4844,0.4882,0.0,1.0,0.4771,31667.5,2.8010295959668714e-08,0.0009
Vibration__energy_ratio_by_chunks__num_segments_10__segment_focus_4,Vibration,0.1015,0.0898,-0.0117,0.0203,0.0278,0.1003,0.093,0.4766,51075.0,7.641445007621599e-07,0.0171
"Temperature__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",Temperature,0.02,0.3712,0.3511,0.0381,1.0187,0.0019,0.0182,0.4761,32935.5,1.6852340109149923e-05,0.1456
"Temperature__fft_coefficient__attr_""real""__coeff_14",Temperature,-0.0155,-2.5977,-2.5822,1.1117,7.4354,0.0097,-1.9606,0.4751,52609.0,1.0951424509248828e-08,0.3108
"Noise__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",Noise,0.0159,0.1446,0.1287,0.0679,0.3694,0.0182,0.129,0.4742,27184.0,1.6322559460126169e-12,0.3068
"Vibration__fft_coefficient__attr_""real""__coeff_13",Vibration,-0.0085,-0.3275,-0.3189,0.0882,0.9285,-0.0003,-0.3391,0.4728,56297.0,3.764665455523233e-14,0.4084
Pressure__ar_coefficient__coeff_9__k_10,Pressure,-0.0275,0.1393,0.1667,0.2994,0.3952,-0.0413,0.1566,0.4726,27131.0,1.3469696887205126e-12,0.0571
"Vibration__fft_coefficient__attr_""real""__coeff_10",Vibration,-0.0027,-0.348,-0.3453,0.091,1.0065,-0.0,-0.325,0.4724,52896.0,4.641451729233514e-09,0.4251
Temperature__ar_coefficient__coeff_8__k_10,Temperature,-0.1638,-0.0011,0.1627,0.2891,0.3892,-0.1784,0.0046,0.4712,28058.0,3.5081755059916894e-11,0.0195
"Vibration__fft_coefficient__attr_""real""__coeff_6",Vibration,-0.0228,-0.4237,-0.4009,0.0947,1.1765,-0.0259,-0.2276,0.4696,49220.0,6.020918236945608e-05,0.4292
"Vibration__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",Vibration,0.0,0.0017,0.0017,0.0001,0.005,0.0,0.0001,0.4679,31474.0,4.409397614073426e-07,0.2579
Motor_Current__kurtosis,Motor_Current,-0.0005,1.0793,1.0798,0.858,3.0865,-0.1301,0.1368,0.4674,33724.0,0.0001595152125851408,0.0237
Temperature__kurtosis,Temperature,-0.1254,0.6596,0.785,0.7666,2.2255,-0.3059,0.0149,0.4631,31999.0,3.4380216720485526e-06,0.0351
Motor_Current__partial_autocorrelation__lag_7,Motor_Current,-0.0668,0.0259,0.0927,0.1946,0.2052,-0.0571,0.0066,0.463,31793.0,2.0718646098269353e-06,0.024
Temperature__lempel_ziv_complexity__bins_5,Temperature,0.5197,0.5053,-0.0144,0.0248,0.0362,0.5333,0.5,0.46,50631.0,4.0766466837707094e-07,0.014
"Temperature__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",Temperature,0.0227,1.0347,1.012,0.0511,3.0551,0.0033,0.0,0.4578,40770.0,0.803660873213535,0.1986
"Motor_Current__fft_coefficient__attr_""real""__coeff_8",Motor_Current,-0.0237,-1.0812,-1.0574,0.2051,3.1942,-0.0307,-0.8319,0.4566,51275.0,4.5392823470298635e-07,0.4456
Motor_Current__ratio_beyond_r_sigma__r_1,Motor_Current,0.3226,0.2866,-0.036,0.0579,0.0947,0.3167,0.3,0.4542,48745.5,0.00013810231380530498,0.0459
"Noise__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",Noise,0.0025,0.0871,0.0847,0.0078,0.2575,0.0,0.0,0.4541,34142.0,5.194454414701801e-05,0.0808
"Vibration__fft_coefficient__attr_""imag""__coeff_7",Vibration,0.0097,0.3625,0.3528,0.1051,1.0708,0.0024,0.3122,0.4533,30282.0,3.6768126355679374e-08,0.4518
"Noise__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",Noise,0.007,0.2661,0.2591,0.0212,0.7899,0.0,0.0,0.4532,34192.0,6.115211525997082e-05,0.0989
Vibration__energy_ratio_by_chunks__num_segments_10__segment_focus_3,Vibration,0.0964,0.0845,-0.0119,0.023,0.0292,0.0973,0.0874,0.4522,52446.0,1.7672079113684292e-08,0.0431
"Vibration__fft_coefficient__attr_""real""__coeff_11",Vibration,-0.01,-0.3659,-0.3559,0.0868,1.0927,-0.007,-0.3418,0.4488,52769.0,6.803268919914544e-09,0.4381
Temperature__number_peaks__n_3,Temperature,2.9161,3.3023,0.3863,0.8693,0.8539,3.0,3.0,0.4485,31403.5,1.4347406713239446e-07,0.0
"Vibration__fft_coefficient__attr_""real""__coeff_7",Vibration,-0.0119,-0.3393,-0.3274,0.095,1.0062,-0.0075,-0.2457,0.4478,51885.0,8.726990499867958e-08,0.3859
"Temperature__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",Temperature,0.0021,0.0661,0.064,0.0048,0.1992,0.0,0.0,0.4442,35953.0,0.0028361151850034437,0.1038
"Vibration__fft_coefficient__attr_""real""__coeff_2",Vibration,0.0252,-0.3446,-0.3698,0.17,1.1391,0.0337,-0.2581,0.4442,51095.0,7.256841442348226e-07,0.3279
Noise__lempel_ziv_complexity__bins_3,Noise,0.4394,0.4252,-0.0142,0.0251,0.0375,0.4333,0.4333,0.4401,49634.5,6.998342928575922e-06,0.0182
"Noise__fft_coefficient__attr_""imag""__coeff_6",Noise,-0.1057,4.9212,5.0268,2.0534,15.6754,-0.0624,4.8176,0.4398,29560.0,4.395251624275328e-09,0.3662
"Temperature__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",Temperature,0.0039,0.1168,0.1129,0.0116,0.3562,0.0,0.0,0.438,36789.5,0.012874356857352083,0.0969
"Pressure__fft_coefficient__attr_""real""__coeff_10",Pressure,-0.0342,-0.4603,-0.4261,0.1851,1.3344,-0.0425,-0.39,0.4375,51452.5,2.8358712831474624e-07,0.3666
"Vibration__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",Vibration,0.0001,0.0055,0.0054,0.0003,0.0169,0.0,0.0002,0.4372,31794.0,1.1907110763249469e-06,0.2716
"Pressure__fft_coefficient__attr_""imag""__coeff_7",Pressure,0.0097,0.4843,0.4746,0.1865,1.4946,0.0045,0.3484,0.4357,30370.0,4.7217513307372533e-08,0.3467
"Vibration__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",Vibration,0.0002,0.0177,0.0175,0.0043,0.0555,0.0,0.0133,0.4356,28528.0,1.6789085055470498e-10,0.3763
"Pressure__fft_coefficient__attr_""real""__coeff_11",Pressure,-0.0101,-0.4438,-0.4336,0.1738,1.3657,-0.0061,-0.4163,0.4356,52651.0,9.670808535382463e-09,0.3803
Motor_Current__ar_coefficient__coeff_7__k_10,Motor_Current,-0.0506,0.1161,0.1667,0.2875,0.4531,-0.0357,0.0726,0.4351,31393.0,7.524048546053767e-07,0.0638
Motor_Current__has_duplicate_max,Motor_Current,0.1496,0.0299,-0.1197,0.3567,0.1703,0.0,0.0,0.4349,46174.5,3.6910456368931634e-07,0.0409
Pressure__ar_coefficient__coeff_8__k_10,Pressure,-0.0694,0.101,0.1704,0.2953,0.4639,-0.0954,0.0555,0.434,30017.0,1.7114037003067505e-08,0.005
"Temperature__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",Temperature,0.0045,0.0723,0.0679,0.0324,0.2141,0.0058,0.0586,0.4337,29106.5,1.0840311354736052e-09,0.3235
Temperature__ar_coefficient__coeff_1__k_10,Temperature,0.1336,-0.0046,-0.1382,0.2737,0.3569,0.1397,-0.0044,0.4319,51973.0,6.827895886468294e-08,0.0431
"Motor_Current__fft_coefficient__attr_""real""__coeff_10",Motor_Current,-0.0258,-0.9985,-0.9727,0.2121,3.1109,-0.02,-0.86,0.4312,51526.5,2.3255495442845383e-07,0.4499
Temperature__fourier_entropy__bins_100,Temperature,2.5091,2.5787,0.0696,0.1852,0.1367,2.5127,2.5993,0.4305,32417.0,8.061473537197575e-06,0.0293
Motor_Current__number_peaks__n_5,Motor_Current,1.3686,1.6811,0.3124,0.7294,0.7231,1.0,2.0,0.4303,32329.5,1.1366193739886034e-06,0.0
"Noise__fft_coefficient__attr_""real""__coeff_8",Noise,-0.1412,-4.7701,-4.6289,2.1819,14.748,0.0552,-4.9023,0.4295,51725.0,1.356841772726024e-07,0.3677
"Pressure__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",Pressure,0.0001,0.0012,0.0011,0.0001,0.0037,0.0,0.0,0.426,33784.5,8.737688547116992e-05,0.1678
Vibration__ar_coefficient__coeff_7__k_10,Vibration,-0.1051,0.0439,0.149,0.2878,0.3989,-0.1194,0.0633,0.4251,30121.0,2.3151918207699058e-08,0.0582
Pressure__number_peaks__n_3,Pressure,2.8102,3.1993,0.3891,0.9781,0.8627,3.0,3.0,0.4232,31872.0,6.244829403493845e-07,0.0
Pressure__partial_autocorrelation__lag_4,Pressure,-0.0169,0.0637,0.0806,0.1996,0.1817,-0.0336,0.0666,0.4232,31829.0,2.265282270959145e-06,0.0111
Noise__ar_coefficient__coeff_7__k_10,Noise,-0.0158,0.1264,0.1422,0.2809,0.3799,-0.0326,0.0944,0.4228,31070.0,3.227327615812095e-07,0.0186
Temperature__ratio_beyond_r_sigma__r_2.5,Temperature,0.0074,0.0151,0.0076,0.0142,0.0211,0.0,0.0,0.4215,33998.5,5.786442407591438e-06,0.0292
Vibration__lempel_ziv_complexity__bins_2,Vibration,0.3696,0.3569,-0.0127,0.0289,0.0314,0.3667,0.3667,0.4193,50555.0,6.432414542425195e-07,0.048
"Vibration__fft_coefficient__attr_""real""__coeff_8",Vibration,-0.0121,-0.3215,-0.3094,0.0891,1.0182,-0.009,-0.3282,0.4185,50718.0,1.8896477078539763e-06,0.4448
"Temperature__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",Temperature,0.0088,0.1429,0.1341,0.0209,0.4439,0.0005,0.0036,0.4172,33747.0,0.00010063567965448131,0.1144
Motor_Current__ratio_beyond_r_sigma__r_3,Motor_Current,0.0012,0.006,0.0048,0.0063,0.0147,0.0,0.0,0.4157,36268.0,1.4237797833662309e-06,0.0
Motor_Current__partial_autocorrelation__lag_3,Motor_Current,0.0289,0.1105,0.0816,0.2014,0.1921,0.0291,0.113,0.4153,31628.0,1.370730683044953e-06,0.0238
Vibration__value_count__value_1,Vibration,0.0,0.1196,0.1196,0.0,0.3981,0.0,0.0,0.4152,37401.0,2.3445598838191525e-07,0.0297
Temperature__number_peaks__n_5,Temperature,1.4526,1.7342,0.2817,0.6038,0.7398,1.0,2.0,0.4152,32211.0,6.256667801634184e-07,0.0621
"Vibration__fft_coefficient__attr_""real""__coeff_9",Vibration,-0.0108,-0.3451,-0.3342,0.0976,1.1104,-0.0129,-0.1595,0.4145,48937.0,0.00010894515580549015,0.3783
Motor_Current__ratio_beyond_r_sigma__r_2.5,Motor_Current,0.0091,0.0176,0.0085,0.0162,0.0238,0.0,0.0,0.4138,33999.0,1.1601756409533255e-05,0.0191
"Pressure__fft_coefficient__attr_""real""__coeff_3",Pressure,-0.0018,-0.4236,-0.4218,0.1791,1.4161,-0.0015,-0.4338,0.4087,51616.0,1.826166957668462e-07,0.3766
Temperature__energy_ratio_by_chunks__num_segments_10__segment_focus_6,Temperature,0.1001,0.1011,0.001,0.0008,0.0035,0.1001,0.1008,0.4083,33275.0,6.29595280395927e-05,0.2223
"Vibration__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",Vibration,0.0001,0.0031,0.003,0.0002,0.0101,0.0,0.0,0.4076,36234.5,0.009892389906932135,0.2221
"Vibration__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",Vibration,0.0,0.0037,0.0037,0.0001,0.0124,0.0,0.0029,0.4069,28901.0,5.653521034930096e-10,0.5989
"Pressure__fft_coefficient__attr_""real""__coeff_6",Pressure,-0.0042,-0.4495,-0.4452,0.1789,1.5068,0.0087,-0.2197,0.4058,48956.0,0.0001047559763908267,0.3414
"Noise__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",Noise,0.0051,0.2697,0.2646,0.0137,0.9038,0.0,0.0,0.4046,36258.0,0.0036771621457972205,0.1084
"Pressure__fft_coefficient__attr_""real""__coeff_9",Pressure,-0.0071,-0.406,-0.3989,0.1752,1.3537,0.0074,-0.3101,0.4042,50017.0,1.0215541622226227e-05,0.3492
"Noise__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",Noise,0.0047,1.4027,1.3981,0.0977,4.7835,0.0017,1.0718,0.4038,27973.0,2.6249351163950076e-11,0.5225
"Pressure__fft_coefficient__attr_""real""__coeff_13",Pressure,-0.0097,-0.3993,-0.3896,0.1624,1.33,-0.0026,-0.3474,0.4022,52376.0,2.1660246660266254e-08,0.3496
"Motor_Current__fft_coefficient__attr_""imag""__coeff_7",Motor_Current,0.0229,1.0318,1.0089,0.2113,3.4626,0.0141,0.7357,0.402,30708.0,1.2124806692146973e-07,0.4459
Temperature__fourier_entropy__bins_2,Temperature,0.4461,0.4975,0.0514,0.128,0.1281,0.3768,0.4826,0.4017,31648.5,7.865755737671038e-07,0.0593
Vibration__count_above_mean,Vibration,14.6934,13.7309,-0.9625,2.4793,2.3208,15.0,14.0,0.4015,49839.5,1.3159052517776993e-05,0.0315
"Vibration__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",Vibration,0.0001,0.0089,0.0088,0.0004,0.0303,0.0,0.0051,0.4011,31143.0,3.9164562694765115e-07,0.575
Vibration__cid_ce__normalize_True,Vibration,6.2159,5.5455,-0.6705,1.8298,1.5136,6.784,5.5674,0.4011,54046.0,1.2143500204004055e-10,0.1053
"Noise__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",Noise,0.0016,0.6084,0.6068,0.0413,2.1049,0.0022,0.5794,0.3983,28850.0,4.802324303921493e-10,0.5356
"Noise__fft_coefficient__attr_""real""__coeff_6",Noise,-0.28,-4.9067,-4.6267,2.3291,16.0348,-0.35,-3.9989,0.395,49974.0,1.1285732401191786e-05,0.3337
Noise__lempel_ziv_complexity__bins_5,Noise,0.5179,0.5056,-0.0122,0.0258,0.0351,0.5333,0.5,0.3942,48632.5,6.341915884591876e-05,0.0461
"Temperature__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",Temperature,0.0007,0.0142,0.0135,0.0021,0.0473,0.0,0.0,0.394,38398.5,0.09776394308746619,0.0597
"Temperature__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",Temperature,0.0008,0.0246,0.0238,0.002,0.0836,0.0,0.0,0.3935,36262.0,0.004847688680766339,0.1091
"Pressure__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",Pressure,-0.0031,-0.0739,-0.0708,0.0311,0.2476,-0.001,-0.0669,0.3926,55523.0,6.978012609985836e-13,0.324
Motor_Current__longest_strike_above_mean,Motor_Current,5.208,6.3023,1.0943,2.4234,3.1026,5.0,6.0,0.3909,33173.0,4.3113558306795013e-05,0.0768
Temperature__partial_autocorrelation__lag_2,Temperature,0.1296,0.0594,-0.0702,0.1597,0.1973,0.1191,0.0472,0.3893,50758.0,1.7099983283671803e-06,0.0118
Noise__energy_ratio_by_chunks__num_segments_10__segment_focus_4,Noise,0.1,0.0982,-0.0019,0.0016,0.0065,0.1001,0.0974,0.3871,53301.0,1.3352897161494158e-09,0.3021
Pressure__kurtosis,Pressure,-0.0457,0.6765,0.7221,0.9344,2.4273,-0.2096,-0.0186,0.386,34496.0,0.0007046523478736126,0.042
"Noise__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",Noise,0.0011,0.0897,0.0886,0.0029,0.3172,0.0,0.0,0.3859,35875.0,0.0017329401751637438,0.1102
Noise__ratio_beyond_r_sigma__r_3,Noise,0.0012,0.0052,0.004,0.0063,0.013,0.0,0.0,0.3858,36699.0,6.406724297934531e-06,0.0064
"Vibration__fft_coefficient__attr_""real""__coeff_5",Vibration,-0.0089,-0.3262,-0.3174,0.0959,1.1355,-0.005,-0.27,0.385,51336.0,3.865011491021211e-07,0.3807
"Temperature__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",Temperature,0.0009,0.0362,0.0353,0.0022,0.1269,0.0,0.0,0.3848,36445.0,0.007236780849776883,0.1553
"Noise__fft_coefficient__attr_""imag""__coeff_7",Noise,0.0533,4.562,4.5087,2.3464,16.0737,0.0303,4.1243,0.384,31111.0,3.598481166695222e-07,0.3478
"Noise__fft_coefficient__attr_""real""__coeff_13",Noise,-0.1042,-3.8333,-3.7291,2.2568,13.2552,-0.0017,-2.4978,0.3838,50084.0,8.738867881495597e-06,0.2489
"Vibration__fft_coefficient__attr_""imag""__coeff_9",Vibration,0.0056,0.2827,0.277,0.0867,0.9952,0.0108,0.2483,0.3834,29881.0,1.1481409801675054e-08,0.4259
"Motor_Current__fft_coefficient__attr_""real""__coeff_11",Motor_Current,-0.0271,-0.8516,-0.8245,0.2273,2.9676,-0.0238,-0.5862,0.383,50615.0,2.4395987602558057e-06,0.4357
