feature_name,sensor,normal_mean,anomaly_mean,mean_difference,normal_std,anomaly_std,normal_median,anomaly_median,cohens_d,mann_whitney_u,p_value,mutual_info
"Pressure__fft_coefficient__attr_""abs""__coeff_8",Pressure,0.2115,1.8036,1.5921,0.1249,1.0792,0.1945,1.5692,2.0267,2147.0,6.217307216145708e-86,0.5154
"Noise__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",Noise,0.0401,1.8729,1.8328,0.0222,1.2515,0.0353,1.6428,2.0238,564.0,7.089215576699883e-93,0.6002
"Vibration__fft_coefficient__attr_""abs""__coeff_8",Vibration,0.1122,1.2811,1.1688,0.0642,0.8016,0.1052,1.1346,2.0092,2104.0,4.0609585322129665e-86,0.5559
"Pressure__fft_coefficient__attr_""abs""__coeff_13",Pressure,0.2081,1.65,1.442,0.115,0.9868,0.1943,1.5203,2.0072,3171.0,1.3765196287557303e-81,0.4968
Pressure__energy_ratio_by_chunks__num_segments_10__segment_focus_9,Pressure,0.1003,0.1104,0.0101,0.0014,0.0068,0.1002,0.1099,2.0024,4717.0,3.031353698006388e-75,0.473
"Vibration__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",Vibration,0.0055,0.0332,0.0277,0.0037,0.0188,0.0046,0.0278,2.0014,1185.0,4.044999389125274e-90,0.5405
"Noise__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",Noise,0.0351,1.187,1.1519,0.1155,0.7887,0.0273,0.996,1.9989,2318.5,3.3831869042216605e-85,0.5283
"Motor_Current__fft_coefficient__attr_""abs""__coeff_7",Motor_Current,0.2546,4.2851,4.0305,0.145,2.7869,0.2425,3.8744,1.9963,1342.0,1.9822518498248895e-89,0.5675
"Vibration__fft_coefficient__attr_""abs""__coeff_13",Vibration,0.1081,1.206,1.098,0.0573,0.7588,0.0985,1.0726,1.9946,2915.0,1.1567605084887052e-82,0.5238
Noise__energy_ratio_by_chunks__num_segments_10__segment_focus_0,Noise,0.0997,0.0899,-0.0098,0.0018,0.0066,0.0998,0.0894,1.9927,75330.0,8.159652015670157e-66,0.4522
"Pressure__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",Pressure,0.0278,0.1827,0.155,0.009,0.1071,0.0272,0.1655,1.9924,1467.0,6.99257087786444e-89,0.5403
"Noise__fft_coefficient__attr_""abs""__coeff_8",Noise,2.5692,19.1786,16.6094,1.4012,11.4869,2.449,17.1577,1.9849,2826.0,4.871310924113068e-83,0.5169
"Temperature__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",Temperature,0.0859,5.1513,5.0653,0.0531,3.5303,0.0743,4.5229,1.9827,888.0,1.9677774377736703e-91,0.5935
"Noise__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",Noise,0.0384,1.4696,1.4313,0.1327,0.9901,0.032,1.426,1.9818,4892.0,1.5245456425987873e-74,0.5037
"Vibration__fft_coefficient__attr_""abs""__coeff_3",Vibration,0.1405,1.6657,1.5252,0.0849,1.061,0.1284,1.5257,1.9809,1366.0,2.5259585803435262e-89,0.5518
"Noise__fft_coefficient__attr_""abs""__coeff_2",Noise,3.303,24.3102,21.0073,1.825,14.5752,2.9992,21.9667,1.9779,1329.0,1.738251746978134e-89,0.5522
"Pressure__linear_trend__attr_""rvalue""",Pressure,0.0763,0.566,0.4897,0.3022,0.1854,0.0718,0.6033,1.9746,7812.0,2.478144805385727e-63,0.3201
"Pressure__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",Pressure,0.003,0.1494,0.1464,0.0125,0.1019,0.0023,0.144,1.9709,5608.0,1.043057189191507e-71,0.545
"Motor_Current__fft_coefficient__attr_""abs""__coeff_14",Motor_Current,0.2552,3.9335,3.6783,0.1422,2.5816,0.2347,3.5101,1.9665,1241.0,7.136211870934414e-90,0.5874
"Vibration__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",Vibration,0.0001,0.0096,0.0095,0.0001,0.0067,0.0001,0.0081,1.9657,597.0,9.95713470037443e-93,0.6038
"Pressure__fft_coefficient__attr_""abs""__coeff_5",Pressure,0.2316,1.7687,1.5371,0.1177,1.0813,0.2193,1.6069,1.954,2231.0,1.4267989148687525e-85,0.5149
Motor_Current__energy_ratio_by_chunks__num_segments_10__segment_focus_0,Motor_Current,0.0997,0.0888,-0.0109,0.0012,0.0076,0.0999,0.0874,1.9526,76527.0,2.1941799649780845e-70,0.5329
"Motor_Current__fft_coefficient__attr_""abs""__coeff_11",Motor_Current,0.2672,3.7193,3.4521,0.1554,2.4533,0.2494,3.3622,1.9412,1451.0,5.9530740185916036e-89,0.5473
